LoanNumber,LoanGuid,LoanFolder,ClosingDate
4.00E+14,641335ca-4f2e-4b7f-a8f4-4e17ef36b712,Active,9/20/2024 0:00
4.00E+14,4fbfdc40-88b2-4160-b082-fea261d4f182,Active,9/20/2024 0:00
4.00E+14,956c8b1f-06e8-4d0c-929f-b4b48674c4b5,Active,9/20/2024 0:00
4.00E+14,e1a7a465-6fd0-436c-8af7-364a7ebafea0,Active,9/20/2024 0:00
4.00E+14,b102ff9a-efb7-4ec7-8383-3124c9f6307b,Active,9/20/2024 0:00
4.00E+14,6d8a734b-53f6-42d2-a793-7de0b53422f3,Active,9/23/2024 0:00
4.00E+14,a087763e-a39e-4a89-9536-e55df6796ba7,Active,9/23/2024 0:00
4.00E+14,8e9e436e-2170-4e81-bc52-de9215a25bb7,Active,9/23/2024 0:00
4.00E+14,532e7bb6-a02f-4d8b-a5de-2720d5e94da3,Active,9/23/2024 0:00
4.00E+14,963df723-7f95-4e83-9849-eb14b7d7e50c,Active,9/23/2024 0:00
4.41E+14,fd250f07-a178-4402-9795-e05966d08519,Active,9/23/2024 0:00
4.00E+14,486ced50-ce0d-4158-b18f-90d8fae61f4a,Active,9/23/2024 0:00
4.00E+14,ed4c91a9-0919-4ec1-ac74-1aefdcdfcd49,Active,9/23/2024 0:00
4.00E+14,8ba5725e-6e20-4ecb-98f6-cabb986480fe,Active,9/23/2024 0:00
4.00E+14,2ff5b6f8-8d89-4b10-a381-eebdf7684afc,Active,9/23/2024 0:00
4.00E+14,926de4e0-5721-46f7-a140-67e9992b20ea,Active,9/23/2024 0:00
4.00E+14,e26abdaf-61ea-48d2-a929-86b5b7e740ba,Active,9/23/2024 0:00
4.00E+14,1e9bf41d-db75-4c71-bec7-e6b7614e5b3b,Active,9/23/2024 0:00
4.00E+14,effa3250-0e6e-4d36-9b55-c9760ff999e0,Active,9/23/2024 0:00
2.30E+14,25b5f930-8473-40e4-94d0-2abb5aec4510,Active,9/23/2024 0:00
4.00E+14,242b1258-badf-4fda-b999-e687da4d951b,Active,9/23/2024 0:00
